COUNTRY,feddummy,fedtype,fedlijp,fedkeman,fedtreis,fedgth,fedmadx,pcgrants,dezrev2,dezrev3,dezrev4,borrauton,hbc,snadm,dezrev1,pcsnborr,fimb1,fimb2,grants,dezexp,pcdef,def,pcpord,pord,pcedu,edu,pchealth,health,pcsoc,soc,pchous,hous,pcrec,rec,pcecon,econ,pcagri,agri,pctcom,tcom,pcenv,env,gdpppp94,gdpppp03,growth10,unemp10,infl10,tradebal10,govsize10,socexp10,budgdef10,incineq1,incineq2,incineq3,pop,area,popdens,ethnic,religion,hdi02,urban,legeng,legfren,legger,legscan,democ,medage,police,teacher,pisa,librarians,econ1,envimp,roads,polisys,label
Norway,0,0,-0.65,-0.26,0,-4,1,0.39,0.22,0.004,0,1.6,1.6,0.38,0.1793596,0.1898142,0.5732691,0.6165451,0.1242002,0.3183664,0.0417591,0,0.0187529,0.1557673,0.1211709,0.6216942,0.1407777,0.6543999,0.3275902,0.1917465,0.0227504,0.8092854,0.0230036,0.6329678,0.086324,0.1558615,0.0244606,0,0.0498247,0.3043775,0.0156688,0.8297701,22588.2,37015.99,1.026313,4.092899,1.022139,1.339228,48.26526,0.1598715,0.1182049,25.8,6.1,6.4,4500.333,324220,13.88049,0.06,0.21,0.956,0.75,0,0,0,1,98,37.2,2.44,0.052,0.04,0.42,70.1,6.06,71185,0.92,NOR
Poland,0,0,,,0,-4,1,0.54,0.09,0.032,0,2,2,0.6,0.1420034,0.2262584,0.6104435,0.6158148,0.0997108,0.2540354,0.0294916,0,0.0372794,0.1888736,0.1181042,0.6438076,0.0911871,0.5056261,0.4047806,0.0550277,0.0681046,0.8012035,0.0170894,0.6357036,0.0491462,0.5030721,0.0172307,0.2465725,0.017671,0.7664963,,,,11523.92,1.038567,15.25101,1.089196,0.8707951,48.43761,0.1961598,-0.0536187,31.6,9.3,8.6,38489.5,312685,123.0935,0.09,0.17,0.85,0.63,0,0,1,0,21,35.2,2.6,,-0.72,0.46,30.13,4.59,249088,,POL
Portugal,0,0,-0.7,-0.98,0,-5,1,0.4,0.06,0.011,0.009,2.5,2.5,0.32,0.0477636,0.177255,0.6332113,0.5518634,0.0506343,0.097018,,,,,,,,,,,,,,,,,,,,,,,12444.64,18656.22,1.020665,5.673566,1.034167,0.7864927,45.61798,,-0.0528971,38.5,15,,10182.24,92391,110.2081,0.1,0.11,0.897,0.66,0,1,0,0,42,37,4.86,,-1.24,0.09,20.14,4.5,14736,0.36,POR
Slovakia,0,0,,,0,-5,1,,,,,,,0.4,0.0441823,0.1218296,0.55304,0.5687895,0.045498,0.0897123,0.0396202,0,0.0410988,0.0455426,0.0966712,0.2504742,0.1679562,0.0187784,0.2932571,0.0139439,0.0366299,0.614939,0.0212742,0.3399329,0.1456377,0.1102982,0.0366991,0.0366021,,,0.0174679,0.6206141,,13116.57,1.044246,18.54809,1.077617,0.9394317,50.46324,0.1467336,-0.0828489,25.8,6.7,7,5393.444,48845,110.4196,0.29,0.55,0.842,0.58,0,0,1,0,35,34,3.72,,,0.36,17.31,4.8,37698,,SVK
Spain,0,0,0.42,-0.23,1,-3,1,0.56,0.17,0.053,0.022,2.5,2.8,0.6,0.1695798,0.0799474,0.5979293,0.4820181,0.1782441,0.2999462,0.0242809,0,0.0391262,0.3822422,0.0898404,0.7414638,0.1122928,0.3168071,0.2910683,0.0508045,0.0323406,0.9138303,0.0238071,0.8095467,0.0708324,0.5368257,0.0143979,0.7373432,0.0417789,0.5775294,0.0162429,0.932636,15088.41,24512.72,1.02769,14.26198,1.032653,0.9786229,41.84088,0.1211664,-0.0412794,32.5,9,10.1,39963.74,504782,79.1703,0.46,0.1,0.922,0.78,0,1,0,0,55,37.4,2.87,0.052,-0.42,0.09,52.61,4.87,658203,-0.59,SPA
Sweden,0,0,-0.79,-0.89,0,-5,1,0.2,0.32,0.183,0.006,3,3,0.56,0.3189858,0.1294884,0.3067445,0.8227438,0.0661651,0.3626955,0.0347804,0,0.0219918,0.1797883,0.1198112,0.6935873,0.1195628,0.813616,0.3808947,0.2880262,0.0185026,0.6500131,0.0208836,0.7549327,0.0729426,0.2903385,0.0073933,,0.0232637,,0.0338279,0.7323098,20213.87,28881.78,1.026207,6.135721,1.013383,1.177376,61.83409,0.2217483,-0.0254628,25,6.2,6.5,8880.4,449964,19.7358,0.17,0.24,0.946,0.83,0,0,0,1,86,39.6,,0.042,0.41,0.7,84.56,6.54,167604,1.04,SWE
Switzerland,1,0,1.61,1.72,1,-1,3,0.19,0.45,0.179,0.113,3,3,0.54,0.3554854,0.2501968,0.5018912,0.7483056,0.1750784,0.4790656,0.0316328,0.11,0.0362571,0.9288222,0.134763,0.901673,0.1780743,0.5123349,0.335087,0.2247895,0.0275467,0.8715173,0.0191577,0.8884266,0.0866917,0.5473082,0.040508,0.4682603,0.0802688,0.5653956,,,25933.78,32510.51,1.006786,3.325075,1.008637,1.15985,35.10995,0.1171485,0.0111832,33.1,9.9,9.3,7181.243,41290,173.9221,0.55,0.61,0.936,0.67,0,0,1,0,103,40.2,1.98,0.039,0.2,0.71,86.4,5.89,71212,1.87,SWI
Turkey,0,0,,,0,-5,1,,,,,,,0.29,,,,,,,0.0833537,,,,,,,,,,,,,,0.1054317,,0.0245398,,0.0321912,,,,5115.233,6937.05,1.010489,7.82126,1.689495,0.8868344,,,-0.2704781,40,13.3,,66084.8,780580,84.66115,0.34,0,0.751,0.66,0,1,0,0,46,24.2,2.43,0.034,,0.01,34.86,,147404,,TUR
United Kingdom,0,0,-1.19,-1,0,-4,1,0.74,0.06,0.04,0,1.5,1.5,0.64,0.0434186,0.160246,0.8616866,0.2985594,0.1579304,0.2252726,0.0567671,0,0.0516332,0.5131853,0.0929225,0.6702681,0.1116691,,0.3528573,0.2008171,0.0296888,0.4631285,0.0110198,0.6852235,0.0405299,,0.0031387,0.109381,0.0203607,0.5610517,,,19022.43,29789.12,1.026276,6.611942,1.016569,0.9481571,41.85532,0.1515998,-0.0408929,36,13.8,12.5,59005.67,244820,241.0165,0.11,0.7,0.936,0.9,1,0,0,0,103,37.7,2.06,0.038,0.89,0.43,60.54,5.69,392931,-1.39,USA
United States,1,0,2.36,1.44,1,-1,3,0.34,0.39,0.177,0.177,3,3,0.73,0.3244629,0.2043482,0.5227247,0.6816235,0.1538433,0.4830157,0.0829817,0,0.0415389,0.8320888,0.1850307,0.9409837,0.1818366,0.409979,0.2139722,0.2493595,0.0204237,0.3058384,0.0103645,0.8113243,0.029495,0.6075488,0.0124748,0.4548454,0.0467062,0.726633,,,26636.43,37622.34,1.021492,5.125993,1.024465,0.8097699,35.57619,0.0760183,0.0355619,40.8,15.9,17,279244.6,9629091,29.0001,0.4,0.6,0.939,0.77,1,0,0,0,103,35.2,,0.042,-0.04,,100,5.22,4180053,-0.52,UKD
